car_id,car_make,car_model,car_year,car_mileage,car_price,car_transmission,car_driveTrain,car_vendor,car_location,car_engine
73841114,Ram,1500-SLT,2015,19136,31995,8-Speed Automatic,4WD,Lewisburg, PA 17837,5.7 8 Cylinder Sequential-Port F.I.
29945141,Jeep,Cherokee,2006,71400,24488,5 SPEED SHIFTABLE AUTOMATIC,4WD,North Wales, PA 19454,8 Cylinder Engine
70134045,Hyundai,Sonata-SE,2013,26364,11888,A,FWD,West Palm Beach, FL 33409,2.40L I4
73809998,Nissan,Altima-25,2015,31498,14999,VARIABLE,FWD,Lake Worth, FL 33461,2.5 L
72880601,Volkswagen,Beetle-20t-Turbo-Pzev,2012,22871,12949,Automatic,FWD,Ft Myers, FL 33912,2.0L
73264800,Ford,F150-XLT,2014,10733,27229,A,RWD,Bradenton, FL 34207,3.70L V6
73352899,Honda,Accord-EX-L-V-6,2009,181398,6653,5-Speed Automatic,FWD,Turnersville, NJ 08012,3.5 6 Cylinder Fuel Injected
73670664,Nissan,Altima-25,2012,31897,12998,Automatic,FWD,Frederick, MD 21704,2.50L I4
73674346,Hyundai,Elantra-SE,2017,11203,15220,6-Speed Automatic with Shiftronic,FWD,Hagerstown, MD 21740,2.0L 4-Cylinder DOHC 16V
73726654,Dodge,Durango-GT,2017,12202,28999,AUTOMATIC,RWD,Lake Worth, FL 33461,3.6 L
73372379,Chevrolet,Malibu-LT,2015,33853,16999,6-Speed Automatic,FWD,Marlton, NJ 08053,2.5 4 Cylinder Fuel Injected
73702928,Hyundai,Sonata-Limited,2012,77257,11999,A,FWD,East Petersburg, PA 17520,2.40L I4
72096333,Honda,Pilot-EX,2012,31081,21996,5-Speed Automatic,4WD,Turnersville, NJ 08012,3.5 6 Cylinder Fuel Injected
72909761,Hyundai,Elantra-Limited,2014,16214,13490,,,Downingtown, PA 19335,
73661453,Ford,Escape-Titanium,2014,37545,17997,Automatic,FWD,Laurel, MD 20707,2.0 4 Cylinder Turbocharged
62845142,Jeep,Grand-Cherokee-SRT-8,2010,51180,35977,AUTO,4WD,North Wales, PA 19454,8 Cylinder Engine
72056941,Hyundai,Sonata-Hybrid-SE,2016,23271,17998,6-Speed Automatic,FWD,Cherry Hill, NJ 08034,2.0L I4 DGI Hybrid DOHC 16V SULEV II
73102783,Chevrolet,Equinox-LTZ,2012,74869,16750,Shiftable Automatic,FWD,West Palm Beach, FL 33409,2.4 4 Cylinder Sequential Fuel Injection
73382970,Hyundai,Genesis-38l,2013,59866,16897,AUTOMATIC,RWD,Sarasota, FL 34231,V6 Cylinder Engine 3.8L
73726304,Honda,Cr-V-Touring,2016,22183,28991,Variable,AWD,Harrisburg, PA 17111,2.4 L
72564660,Volkswagen,Jetta-GLI,2014,19438,19288,6-Speed DSG Automatic with Tiptronic,FWD,Mechanicsburg, PA 17050,I-4 cyl
72667240,Audi,Allroad-20T-Quattro-Premium-Plus,2016,6452,43301,8-Speed Automatic with Tiptronic,AWD,Wilmington, DE 19806,2.0L 4-Cylinder TFSI DOHC
71969725,Nissan,Altima-25-S,2008,138918,6999,CVT,FWD,Turnersville, NJ 08012,2.5 4 Cylinder Fuel Injected
72854887,BMW,i3,2014,14476,23989,A,RWD,Doylestown, PA 18901,0.00L 0
73042357,Hyundai,Elantra-GLS,2013,51495,10967,6-Speed Automatic with Overdrive,FWD,Hagerstown, MD 21740,1.8L 4-Cylinder DOHC 16V Dual CVVT PZEV
73604829,Chevrolet,Impala-Limited-LT-Fleet,2015,39716,11795,Automatic,FWD,Warminster, PA 18974,3.6 6 Cylinder Fuel Injected
72873834,Hyundai,Veloster-Turbo-R-Spec,2014,31460,12999,AUTOMATIC,FWD,Lake Worth, FL 33461,1.6 L
73742298,MINI,Cooper,2010,51122,8999,Getrag 6-Speed Manual with Overdrive,FWD,Waldorf, MD 20601,1.6L I4 DOHC 16V
72675492,Jaguar,XE-25t,2017,12217,29733,Automatic,RWD,Ft Myers, FL 33912,2.0 L
73252320,Ford,Mustang-Shelby-GT500,2007,7786,35991,6-Speed Manual,RWD,Lititz, PA 17543,5.4 8 Cylinder Fuel Injected
73572375,Cadillac,SRX-Luxury-Collection,2015,19104,32995,Automatic,FWD,Fort Myers, FL 33907,3.6L
73716696,Honda,CR-V-EX-L,2014,31374,20600,5-Speed Automatic,AWD,Springfield, VA 22150,2.4L I4 DOHC 16V i-VTEC
73188921,Chrysler,Town-and-Country-Touring-Ed,2015,20177,21357,Shiftable Automatic,FWD,Elizabethtown, PA 17022,3.6 6 Cylinder Sequential-Port F.I.
73611485,Chevrolet,Camaro-LT,2013,7227,21877,6-SPEED A/T,RWD,Sarasota, FL 34231,V6 Cylinder Engine 3.6L
72777835,Acura,MDX-Tech,2015,35647,36990,6-Speed Shiftable Automatic,AWD,Turnersville, NJ 08012,3.5 6 Cylinder Fuel Injected
71966595,Dodge,Charger-R-T,2016,26148,22998,Automatic,RWD,Leesburg, VA 20175,5.7 8 Cylinder Fuel Injected
73743948,Lincoln,MKZ,2010,80943,10388,A,FWD,East Petersburg, PA 17520,3.50L V6
73811613,Ford,Transit-Cargo-250,2016,13584,24500,A,RWD,Sarasota, FL 34236,3.70L V6
70117945,Lexus,ES-350,2007,126620,10480,Automatic,FWD,Baltimore, MD 21215,3.5L V6 DOHC 24VCYL
73061341,Nissan,Armada-SL,2017,8062,46789,7-Speed Shiftable Automatic,4WD,Turnersville, NJ 08012,5.6 8 Cylinder Fuel Injected
73319131,Audi,A3-18T-Premium,2016,29819,18999,AUTOMATIC,FWD,Lake Worth, FL 33461,1.8 L
73590265,Chevrolet,Equinox-Ls,2015,45208,14950,Automatic,AWD,Ephrata, PA 17522,4 Cylinder 2.4L
72874170,Volkswagen,Beetle-18T,2014,9130,15598,A,FWD,Ellicott City, MD 21043,1.80L I4
72798766,GMC,Savana-Cargo-2500,2016,10266,23396,Shiftable Automatic,RWD,Jenkintown, PA 19046,4.8 8 Cylinder Fuel Injected
73442992,Volkswagen,Jetta-Wolfsburg-Edition,2007,113265,4295,6-Speed Automatic,FWD,Conshohocken, PA 19428,2.5 5 Cylinder Sequential Port Fuel Injection
72437358,Nissan,Sentra-18-(EZEV),2005,101833,4999,Automatic,FWD,Mechanicsburg, PA 17055,4 Cylinder 1.8L
73312181,Chevrolet,Equinox-LTZ,2015,45374,22788,6-Speed Automatic with Overdrive,AWD,Cherry Hill, NJ 08034,3.6L V6 SIDI
72678494,Hyundai,Sonata-Hybrid-Limited,2013,22284,16998,A,FWD,Gaithersburg, MD 20877,2.40L I4
73130239,Nissan,Sentra-S,2014,28847,10999,VARIABLE,FWD,Lake Worth, FL 33461,1.8 L
73640697,Chrysler,Town-and-Country-Touring-L,2015,17853,23998,A,FWD,Newark, DE 19711,3.60L V6
73572408,BMW,M3,2011,50937,36991,AUTOMATIC,RWD,Fairfax, VA 22031,4
73710609,Volkswagen,Jetta-Sedan-SE-PZEV,2010,67197,11900,Automatic,FWD,Fairless Hills, PA 19030,2.5 5 Cylinder Sequential-Port F.I.
