site,car_id,car_descrip,car_make,car_model,car_trim,car_year,car_category,car_mileage,car_price,car_extColor,car_transmission,car_driveTrain,car_vendor,car_location,car_detail_link,car_img_link
carsDotCom,702853962,Used 2006 Honda Odyssey EX-L,Honda,Odyssey,EX-L,2006,Used,145000,6500,,,,david (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/702853962/overview/,https://www.cstatic-images.com/phototab/SIY/47/11860447.1495805934122.D80F34243F87490CBD9D02F3FFC78684.JPG
carsDotCom,702853744,Used 2005 Ford Escape Limited,Ford,Escape,Limited,2005,Used,154000,3900,,,,NEE (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/702853744/overview/,https://www.cstatic-images.com/phototab/SIY/31/11510731.1466082315821.A3019FDF18AC4DA0BBC609DB39641B27.jpeg
carsDotCom,705397887,Used 2004 Lexus LX 470,Lexus,LX 470,null,2004,Used,0,14996,,,,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705397887/overview/,https://www.cstatic-images.com/phototab/2/e/1/05/ee4e45277fbe15a9c9a87f310e3.jpg
carsDotCom,703443431,Used 2012 Mercedes-Benz CLS 63 AMG,Mercedes-Benz,,CLS 63 AMG,2012,Used,0,44996,,,,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/703443431/overview/,https://www.cstatic-images.com/phototab/b/5/7/d3/4996347b04af63086f0f44116bd.jpg
carsDotCom,702806435,Used 2007 BMW 328 xi,BMW,328,xi,2007,Used,76982,11996,,,,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/702806435/overview/,https://www.cstatic-images.com/phototab/4/a/e/45/7d487bb7cb223599a2cc3ee1925.jpg
carsDotCom,704599157,Used 2008 Mercedes-Benz C 300 Sport 4MATIC,Mercedes-Benz,,C 300 Sport 4MATIC,2008,Used,80564,12996,Black,7-Speed Automatic,AWD,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/704599157/overview/,https://www.cstatic-images.com/phototab/a/0/8/d5/b6aa6407dff627ad5ad1118d42.jpg
carsDotCom,701240534,Used 2011 Hyundai Elantra Limited,Hyundai,Elantra,Limited,2011,Used,80577,8996,,,,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/701240534/overview/,https://www.cstatic-images.com/phototab/5/f/9/72/44037947844ac6f81b69e16dc1.jpg
carsDotCom,704599158,Used 2004 Lexus RX 330,Lexus,RX 330,null,2004,Used,86607,11996,,,,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/704599158/overview/,https://www.cstatic-images.com/stock/400x300/227990.jpg
carsDotCom,705397877,Used 2009 BMW 335 i xDrive,BMW,335,i xDrive,2009,Used,91834,12899,Alpine White,Beige,AWD,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705397877/overview/,https://www.cstatic-images.com/phototab/4/9/5/b9/f5826e83f643898d397ab8910f8.jpg
carsDotCom,705784690,Used 2011 Jaguar XF Premium,Jaguar,XF,Premium,2011,Used,94052,14996,,,,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705784690/overview/,https://www.cstatic-images.com/stock/400x300/258232.jpg
